year,month,generacion_media
2021,12,16217.573268230144
2022,1,16288.070958284232
2022,2,16351.774158404423
2022,3,16378.798347106347
2022,4,16528.367636093728
2022,5,16565.203343538138
2022,6,16717.47978584583
2022,7,16718.340193748474
2022,8,16769.497795911935
2022,9,16817.432892065783
2022,10,16982.83193052732
2022,11,17046.33076616434
2022,12,17091.146721693185
2023,1,17167.04921568357
2023,2,17258.397923616263
2023,3,17317.727551020107
2023,4,17375.519130046552
2023,5,17528.076822354244
2023,6,17579.027843988857
2023,7,17678.75966490232
2023,8,17742.619941344627
2023,9,17854.826784794146
2023,10,18023.36628862528
2023,11,18067.224611942584
2023,12,17883.224593162537
2024,1,17932.364316720228
2024,2,17998.493974172154
2024,3,18097.551525629482
2024,4,18150.81463410304
2024,5,18239.423182780927
2024,6,18421.74755177131
2024,7,18482.530229054966
2024,8,18599.79480237227
2024,9,18719.184225449197
2024,10,18832.305553949795
2024,11,18972.568174142103
2024,12,19023.06948874547
2025,1,19103.77189071362
2025,2,19255.87871162708
2025,3,19275.323010004482
2025,4,19289.356663850638
2025,5,19290.41826240833
